,Suburb,Address,Rooms,Type,Price,Bedroom,Bathroom,Car,Age,Lattitude,Longtitude
1,Abbotsford,25 Bloomburg St,2,Bungalow,1035000.0,2.0,1.0,0.0,119.0,-37.8079,144.9934
2,Abbotsford,5 Charles St,3,Bungalow,1465000.0,3.0,2.0,0.0,119.0,-37.8093,144.9944
4,Abbotsford,55a Park St,4,Bungalow,1600000.0,3.0,1.0,2.0,5.0,-37.8072,144.9941
6,Abbotsford,124 Yarra St,3,Bungalow,1876000.0,4.0,2.0,0.0,109.0,-37.8024,144.9993
7,Abbotsford,98 Charles St,2,Bungalow,1636000.0,2.0,1.0,2.0,129.0,-37.806,144.9954
9,Abbotsford,10 Valiant St,2,Bungalow,1097000.0,3.0,1.0,2.0,119.0,-37.801,144.9989
11,Abbotsford,40 Nicholson St,3,Bungalow,1350000.0,3.0,2.0,2.0,14.0,-37.8085,144.9964
12,Abbotsford,123/56 Nicholson St,2,Apartment,750000.0,2.0,2.0,1.0,10.0,-37.8078,144.9965
15,Abbotsford,16 William St,2,Bungalow,1310000.0,2.0,1.0,2.0,129.0,-37.809,144.9976
16,Abbotsford,42 Henry St,3,Bungalow,1200000.0,3.0,2.0,1.0,139.0,-37.8056,144.993
17,Abbotsford,78 Yarra St,3,Bungalow,1176500.0,2.0,1.0,1.0,129.0,-37.8021,144.9965
19,Abbotsford,42 Valiant St,2,Bungalow,890000.0,2.0,1.0,1.0,34.0,-37.8011,145.0004
20,Abbotsford,3/72 Charles St,4,Bungalow,1330000.0,4.0,2.0,2.0,119.0,-37.8073,144.9952
21,Abbotsford,13/11 Nicholson St,3,Townhouse,900000.0,3.0,2.0,2.0,9.0,-37.8093,144.9959
23,Abbotsford,6/219 Nicholson St,2,Apartment,500000.0,2.0,1.0,1.0,49.0,-37.8015,144.9972
24,Abbotsford,52a William St,2,Bungalow,1100000.0,2.0,2.0,1.0,6.0,-37.8079,144.9977
25,Abbotsford,49 Park St,2,Bungalow,1315000.0,2.0,1.0,0.0,119.0,-37.808,144.994
27,Abbotsford,48 Abbotsford St,3,Bungalow,1447500.0,3.0,3.0,1.0,7.0,-37.8017,145.0001
